Pais, CO2 Mt;;;;;;;;;;;
China  ,11680.416;;;;;CHINA;8.8;;CHINA,8.8;;;CHINA,8.8
Estados Unidos  ,4535.301;;;;;INDONESIA;3.2;;INDONESIA,3.2;;;INDONESIA,3.2
India  ,2411.733;;;;;FILIPINAS;1.9;;FILIPINAS,1.9;;;FILIPINAS,1.9
Rusia  ,1674.228;;;;;VIETNAM;1.8;;VIETNAM,1.8;;;VIETNAM,1.8
Japón  ,1061.774;;;;;SRI LANKA;1.6;;SRI LANKA,1.6;;;SRI LANKA,1.6
Irán  ,690.241;;;;;EGIPTO;1;;EGIPTO,1;;;EGIPTO,1
Alemania  ,636.876;;;;;TAILANDIA;1;;TAILANDIA,1;;;TAILANDIA,1
Corea del Sur  ,621.468;;;;;MALASIA;0.9;;MALASIA,0.9;;;MALASIA,0.9
Arabia Saudita  ,588.814;;;;;NIGERIA;0.9;;NIGERIA,0.9;;;NIGERIA,0.9
Indonesia  ,568.267;;;;;BANGLADÉS;0.8;;BANGLADÉS,0.8;;;BANGLADÉS,0.8
Canadá  ,542.787;;;;;BRASIL;0.5;;BRASIL,0.5;;;BRASIL,0.5
Brasil  ,451.801;;;;;ESTADOS UNIDOS;0.3;;ESTADOS UNIDOS,0.3;;;ESTADOS UNIDOS,0.3
Sudáfrica  ,435.127;;;;;;;;;;;
México  ,407.695;;;;;;;;;;;
Turquía  ,405.203;;;;;;;;;;;
Australia  ,386.439;;;;;;;;;;;
Vietnam  ,321.925;;;;;;;;;;;
Reino Unido  ,313.729;;;;;;;;;;;
